cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,fecha_reseña,producto_categoria,reseña_id,texto_reseña
1,15.0,12853.97,1391.9,215.0,28.0,móvil,43.0,2025-03-24,ropa,1,El diseño es atractivo y el color coincide con lo esperado después de varios usos
2,4.0,10014.12,823.06,45.0,147.0,marketplace,30.0,2024-09-15,ropa,2,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
3,58.0,8709.53,584.38,32.0,141.0,call center,39.0,2024-09-13,alimentos,3,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
4,97.0,18510.31,237.2,130.0,,tienda física,8.0,2025-06-22,educacion,4,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
5,55.0,5265.05,34.47,52.0,86.0,tienda física,28.0,,servicios,5,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
6,57.0,7442.85,744.11,247.0,157.0,web,8.0,2025-04-29,salud,6,Las instalaciones están limpias yyy el personal explica los procedimientos de forma básica
7,34.0,3100.55,1469.05,25.0,27.0,web,7.0,2023-05-24,hogar,7,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
8,77.0,6108.85,365.75,326.0,218.0,web,36.0,2025-12-07,electronica,8,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
9,9.0,6002.66,343.29,56.0,184.0,marketplace,10.0,2023-12-20,servicios,9,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
10,82.0,nanabc,1293.47,252.0,74.0,marketplace,14.0,2024-07-29,alimentos,10,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
11,94.0,12727.91,175.66,41.0,220.0,call center,46.0,2023-08-31,ropa,11,El diseño es atractivo y el color coincide con lo esperado después de varios usos
12,65.0,13344.02,837.52,74.0,95.0,móvil,19.0,2023-02-21,hogar,12,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
13,89.0,6599.75,1011.61,275.0,162.0,call center,17.0,2023-10-30,ropa,13,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
14,43.0,16989.73,1175.19,297.0,160.0,móvil,48.0,2023-03-22,educacion,14,La  metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
15,99.0,2003.61,279.59,327.0,164.0,call center,35.0,2025-08-28,hogar,15,El artículo para el hogar es funcional y fácil de usar aunq los materiales se sienten normales
16,32.0,13779.76,255.88,109.0,192.0,web,49.0,2025-10-15,alimentos,16,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
17,46.0,11827.23,190.96,289.0,88.0,web,42.0,2025-10-25,hogar,17,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
18,87.0,12536.28,486.78,120.0,29.0,tienda física,48.0,2025-11-17,servicios,18,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso ..
19,56.0,12140.46,766.29,3.0,105.0,móvil,50.0,2024-06-01,hogar,19,El artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales
20,5.0,3688.31,421.09,314.0,200.0,móvil,8.0,2024-03-16,salud,20,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
21,45.0,15047.64,126.54,51.0,174.0,marketplace,10.0,2024-09-23,electronica,21,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas ..
22,56.0,3951.53,9.73,148.0,79.0,marketplace,29.0,2023-03-03,alimentos,22,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
23,37.0,4488.91,164.55,90.0,35.0,móvil,41.0,2023-07-14,electronica,23,La interfaz es intuitiva yyy el dispositivo responde bien en tareas comunes yyy prolongadas
